label,predicted,ground_truth,correct
коагулогических нарушений,Condition,Condition,True
лицевой скелет,AnatomicalStructure,AnatomicalStructure,True
отсутствие ремиссии,Condition,Condition,True
терапия высокими дозами метотрексата,DosageRegimen,DosageRegimen,True
системного остеопороза,Condition,Condition,True
полихимиотерапии,Procedure,Procedure,True
кожные лейкемиды,Condition,Organization,False
TNM,Other,Other,True
Hyper-CVAD/HMA,DosageRegimen,DosageRegimen,True
микробиологическое исследование,LabTest,LabTest,True
петехиальные высыпания,Symptom,Symptom,True
тромбоциты,LabTest,AnatomicalStructure,False
временной регламент,DosageRegimen,Other,False
подмышечная вена,AnatomicalStructure,AnatomicalStructure,True
клостридии,Other,Other,True
100мг/м2 в/в в 1–3‑й дни,DosageRegimen,DosageRegimen,True
яичники,AnatomicalStructure,AnatomicalStructure,True
BCL2/BCL6,Other,Other,True
аспирата КМ,Procedure,Procedure,True
стадирование опухолевого процесса,Procedure,Procedure,True
цефтазидим+авибактам,Drug,Drug,True
аваскулярный некроз (АВН),Condition,Condition,True
переполнение желудка,Symptom,Condition,False
профилактика осложнений специфической терапии,Procedure,Procedure,True
уровень убедительности рекомендаций,Other,Other,True
органов грудной и брюшной полостей,AnatomicalStructure,AnatomicalStructure,True
комбинированная терапия,DosageRegimen,Procedure,False
центральные вены,AnatomicalStructure,AnatomicalStructure,True
психологическая реабилитация,Procedure,Procedure,True
нестероидные противовоспалительные средства,Drug,Drug,True
некротическая ткань,AnatomicalStructure,AnatomicalStructure,True
микробиологическое (культуральное) исследование отделяемого полости рта,LabTest,LabTest,True
лимфатическая система,AnatomicalStructure,AnatomicalStructure,True
меркаптопурина,Drug,Drug,True
NUP,Other,Other,True
консолидации,Procedure,Other,False
дни 3-10,DosageRegimen,DosageRegimen,True
миелотоксические дозы,DosageRegimen,DosageRegimen,True
нефракционированным гепарином,Drug,Drug,True
патолого-анатомическое исследование биопсийного материала,LabTest,LabTest,True
123I,Drug,Drug,True
плод,AnatomicalStructure,AnatomicalStructure,True
кровотечения,Symptom,Symptom,True
врачом-гематологом,Other,Other,True
Беркитт-подобными вариантами,Condition,Condition,True
B-лимфоцитов,AnatomicalStructure,AnatomicalStructure,True
Лихорадка неясной этиологии,Condition,Condition,True
экстрамедуллярный рецидив ОМЛ,Condition,Condition,True
лимфобласты,AnatomicalStructure,AnatomicalStructure,True
КТ,Procedure,Procedure,True
HbsAg,LabTest,LabTest,True
лабораторные исследования,LabTest,LabTest,True
ЦМВ,Condition,Condition,True
нейролейкемии,Condition,Condition,True
пациенты младше 18 лет,Other,Other,True
36 Гр,DosageRegimen,DosageRegimen,True
исследование уровня адренокортикотропного гормона в крови,LabTest,LabTest,True
химотерапия,Procedure,Procedure,True
группа высокого риска,Other,Other,True
ФН,Condition,Condition,True
линейном ускорителе,Other,Other,True
плазма крови,AnatomicalStructure,AnatomicalStructure,True
болевого синдрома,Symptom,Symptom,True
прогрессия,Condition,Condition,True
ЦВК,Other,Other,True
рецидива опухоли,Condition,Condition,True
гастроинтестинальные нарушения,Condition,Condition,True
заболевание или состояние,Condition,Condition,True
трепан-биопсия,Procedure,Procedure,True
RAS,Other,Other,True
лучевой терапии,Procedure,Procedure,True
тимическая B-клетка,AnatomicalStructure,AnatomicalStructure,True
медуллярные остеонекрозы,Condition,Condition,True
секвенирование,LabTest,LabTest,True
РНК,Other,Other,True
микробиологические исследования,LabTest,LabTest,True
синяки,Symptom,Symptom,True
осложнения,Condition,Condition,True
социально-экономические факторы,Other,Other,True
"0,1 мг/кг/сут",DosageRegimen,DosageRegimen,True
органы малого таза,AnatomicalStructure,AnatomicalStructure,True
гемопоэтических клеток,AnatomicalStructure,AnatomicalStructure,True
система гемостаза,AnatomicalStructure,AnatomicalStructure,True
рецидивом,Condition,Condition,True
полинейропатия,Condition,Condition,True
врач-оториноларинголог,Other,Other,True
метастазов,Condition,Condition,True
слизистой оболочки кишечника,AnatomicalStructure,AnatomicalStructure,True
низкомолекулярным гепарином,Drug,Drug,True
JAK2/EPOR,Other,Other,True
Диффузная В-клеточная крупноклеточная лимфома (ДВКЛ),Condition,Condition,True
врача-нейрохирурга,Other,Other,True
глубокие вены,AnatomicalStructure,AnatomicalStructure,True
КУ,Procedure,Procedure,True
тяжелая органная недостаточность,Condition,Condition,True
желтуха,Symptom,Symptom,True
эпифизами,AnatomicalStructure,Condition,False
гематологическими заболеваниями,Condition,Condition,True
олигометастатическое заболевание,Condition,Condition,True
2-5 лет,DosageRegimen,DosageRegimen,True
дексаметазона,Drug,Drug,True
CD1a,LabTest,LabTest,True
Т-ОЛЛ,Condition,Condition,True
спинной мозг,AnatomicalStructure,AnatomicalStructure,True
меркаптопурин,Drug,Drug,True
МНО,LabTest,LabTest,True
эхокардиография (ЭхоКГ),LabTest,LabTest,True
повышение внутричерепного давления,Condition,Condition,True
пациент,Other,Other,True
синаптофизин,LabTest,LabTest,True
ферментов печени,LabTest,LabTest,True
"0,8 мкг/м2, 0,5 мкг/м2, 0,5 мкг/м2",DosageRegimen,DosageRegimen,True
зародышевом центре,AnatomicalStructure,AnatomicalStructure,True
костного мозга,AnatomicalStructure,AnatomicalStructure,True
гемограммы,LabTest,LabTest,True
телемедицинских технологий,Other,Other,True
ритуксимабом,Drug,Drug,True
коагулазонегативные стафилококки,Other,Other,True
Комплекс (синдром) Карнея,Condition,Condition,True
цитологическое исследование мазка костного мозга,LabTest,LabTest,True
пациенты детского возраста,Other,Other,True
"Международная статистическая классификация болезней и проблем, связанных со здоровьем",Other,Other,True
интервалы 8-12 часов,DosageRegimen,DosageRegimen,True
кожная сыпь,Symptom,Symptom,True
t(9;22)(q34;q11.2),Condition,Condition,True
ОВ,Other,Other,True
мутационный статус BCR::ABL,LabTest,LabTest,True
t(3;3)(q21;q26.2),Other,Other,True
пролонгированные инфузии,Procedure,Procedure,True
ежедневный прием,DosageRegimen,DosageRegimen,True
отделения хирургических методов лечения злокачественных новообразований,Organization,Organization,True
цифрового анализа изображений,LabTest,LabTest,True
C83.5,Condition,Condition,True
ОМЛ с признаками миелодисплазии,Condition,Condition,True
радикальная операция,Procedure,Procedure,True
аномалии кариотипа,Condition,Condition,True
миелосупрессии,Condition,Condition,True
гематологические нарушения,Condition,Condition,True
нейролейкоз,Condition,Condition,True
риновирусы,Other,Condition,False
гистологическое исследование,Procedure,Procedure,True
Haemophilus influenzae,Other,Condition,False
синдром Ниймеген,Condition,Condition,True
эндоскопическая операция,Procedure,Procedure,True
инфекционных осложнений,Condition,Condition,True
синдром гиперкортицизма,Condition,Condition,True
тошнота,Symptom,Symptom,True
Диетическое лечебное питание,Other,Other,True
опухолевыми массами,Condition,Condition,True
первичная лимфома центральной нервной системы,Condition,Condition,True
дозы лекарственных препаратов,DosageRegimen,DosageRegimen,True
фондапаринуксом натрия,Drug,Drug,True
митотаном,Drug,Drug,True
крови с дифференцированным подсчетом лейкоцитов (лейкоцитарной формулы) и исследованием уровня тромбоцитов в крови,LabTest,LabTest,True
референсной,Organization,Other,False
опухолях нервной системы,Condition,Condition,True
IKZF1,Other,Other,True
общий белок,LabTest,LabTest,True
катетеризация центральных вен,Procedure,Procedure,True
антибиотикограмма,LabTest,LabTest,True
синдром Линча,Condition,Condition,True
отдаленное метастазирование,Condition,Condition,True
болевой синдром,Symptom,Symptom,True
лимфоцит,AnatomicalStructure,AnatomicalStructure,True
реиндукций,Procedure,Procedure,True
лейкемической инфильтрации,Condition,Condition,True
кардиологические осложнения,Condition,Condition,True
детский хирург,Other,Other,True
Молекулярная ремиссия,Condition,Condition,True
фолликулярных дендритных клеток,AnatomicalStructure,AnatomicalStructure,True
аэробные микроорганизмы,Other,AnatomicalStructure,False
цитомегаловирус,Condition,Condition,True
ремиссия,Condition,Condition,True
цитохимическое исследование,LabTest,LabTest,True
посевы,LabTest,LabTest,True
овариопротекции,Procedure,Procedure,True
лимфоаденопатия,Symptom,Symptom,True
эндокардит,Condition,Condition,True
капецитабина,Drug,Drug,True
аденовирус,Condition,Condition,True
социальная реабилитация,Other,Other,True
видеоэндоскопических вмешательств,Procedure,Procedure,True
патолого-анатомическое исследование,LabTest,LabTest,True
нефротоксичность,Condition,Condition,True
лапаротомный доступ,Procedure,Procedure,True
дозы рассчитываются на м2 поверхности тела,DosageRegimen,DosageRegimen,True
эндоскопическая адреналэктомия,Procedure,Procedure,True
МТХ,Drug,Drug,True
общий анализ крови,LabTest,LabTest,True
спинномозговой пункции,Procedure,Procedure,True
индукционного периода терапии,Other,Other,True
ФХЦ/ПГ,Condition,Condition,True
CYP3A4,Other,Other,True
цитологическое и цитохимическое исследования опухолевых клеток в пунктате КМ,LabTest,LabTest,True
регистрация электрокардиограммы,Procedure,Procedure,True
система Helsinki,Other,Other,True
p190BCR-ABL,Other,Other,True
дазатиниб,Drug,Drug,True
аспирация,Procedure,Procedure,True
интенсификацией,Procedure,Procedure,True
